year,province,track,score,rank
2025,吉林省,history,166,29531
2025,吉林省,history,165,29533
2025,吉林省,history,164,29537
2025,吉林省,history,163,29537
2025,吉林省,history,162,29538
2025,吉林省,history,161,29539
2025,吉林省,history,160,29542
2025,吉林省,history,159,29543
2025,吉林省,history,158,29543
2025,吉林省,history,157,29543
2025,吉林省,history,156,29545
2025,吉林省,history,155,29546
2025,吉林省,history,154,29549
2025,吉林省,history,153,29550
2025,吉林省,history,152,29550
2025,吉林省,history,151,29552
2025,吉林省,history,150,29552
2025,吉林省,history,149,29552
2025,吉林省,history,148,29553
2025,吉林省,history,147,29553
2025,吉林省,history,146,29554
2025,吉林省,history,145,29556
2025,吉林省,history,144,29558
2025,吉林省,history,143,29560
2025,吉林省,history,142,29561
2025,吉林省,history,141,29562
2025,吉林省,history,140,29563
2025,吉林省,history,139,29566
2025,吉林省,history,138,29566
2025,吉林省,history,137,29567
2025,吉林省,history,136,29567
2025,吉林省,history,135,29568
2025,吉林省,history,134,29569
2025,吉林省,history,133,29570
2025,吉林省,history,132,29571
2025,吉林省,history,131,29572
2025,吉林省,history,130,29572
2025,吉林省,history,129,29573
2025,吉林省,history,128,29574
2025,吉林省,history,127,29574
2025,吉林省,history,126,29574
2025,吉林省,history,125,29574
2025,吉林省,history,124,29575
2025,吉林省,history,123,29575
2025,吉林省,history,122,29577
2025,吉林省,history,121,29577
2025,吉林省,history,120,29579
2025,吉林省,history,119,29579
2025,吉林省,history,118,29579
2025,吉林省,history,117,29579
2025,吉林省,history,116,29579
2025,吉林省,history,115,29579
2025,吉林省,history,114,29582
2025,吉林省,history,113,29582
2025,吉林省,history,112,29582
2025,吉林省,history,111,29582
2025,吉林省,history,110,29583
2025,吉林省,history,109,29583
2025,吉林省,history,108,29584
2025,吉林省,history,107,29584
2025,吉林省,history,106,29584
2025,吉林省,history,105,29584
2025,吉林省,history,104,29585
2025,吉林省,history,103,29585
2025,吉林省,history,102,29585
2025,吉林省,history,101,29585
2025,吉林省,history,100,29585
2025,吉林省,history,99,29585
2025,吉林省,history,98,29585
2025,吉林省,history,97,29586
2025,吉林省,history,96,29586
2025,吉林省,history,95,29586
2025,吉林省,history,94,29587
2025,吉林省,history,93,29587
2025,吉林省,history,92,29588
2025,吉林省,history,91,29588
2025,吉林省,history,90,29588
2025,吉林省,history,89,29588
2025,吉林省,history,88,29588
2025,吉林省,history,87,29588
2025,吉林省,history,86,29588
2025,吉林省,history,85,29588
2025,吉林省,history,84,29589
2025,吉林省,history,83,29590
2025,吉林省,history,82,29590
2025,吉林省,history,81,29590
2025,吉林省,history,80,29592
2025,吉林省,history,79,29593
2025,吉林省,history,78,29593
2025,吉林省,history,77,29594
2025,吉林省,history,76,29595
2025,吉林省,history,75,29595
2025,吉林省,history,74,29597
2025,吉林省,history,73,29598
2025,吉林省,history,72,29599
2025,吉林省,history,71,29600
2025,吉林省,history,70,29600
2025,吉林省,history,69,29602
2025,吉林省,history,68,29602
2025,吉林省,history,67,29602
2025,吉林省,history,66,29602
2025,吉林省,history,65,29602
2025,吉林省,history,64,29603
2025,吉林省,history,63,29607
2025,吉林省,history,62,29607
2025,吉林省,history,61,29608
2025,吉林省,history,60,29608
2025,吉林省,history,59,29609
2025,吉林省,history,58,29609
2025,吉林省,history,57,29609
2025,吉林省,history,56,29611
2025,吉林省,history,55,29612
2025,吉林省,history,54,29612
2025,吉林省,history,53,29612
2025,吉林省,history,52,29613
2025,吉林省,history,51,29613
2025,吉林省,history,50,29614
2025,吉林省,history,49,29615
2025,吉林省,history,48,29615
2025,吉林省,history,47,29616
2025,吉林省,history,46,29616
2025,吉林省,history,45,29617
2025,吉林省,history,44,29617
2025,吉林省,history,43,29618
2025,吉林省,history,42,29619
2025,吉林省,history,41,29619
2025,吉林省,history,40,29619
2025,吉林省,history,39,29619
2025,吉林省,history,38,29619
2025,吉林省,history,37,29619
2025,吉林省,history,36,29619
2025,吉林省,history,35,29619
2025,吉林省,history,34,29620
2025,吉林省,history,33,29620
2025,吉林省,history,32,29620
