year,province,track,score,rank
2025,吉林省,physics,178,78958
2025,吉林省,physics,177,78961
2025,吉林省,physics,176,78966
2025,吉林省,physics,175,78972
2025,吉林省,physics,174,78973
2025,吉林省,physics,173,78975
2025,吉林省,physics,172,78977
2025,吉林省,physics,171,78979
2025,吉林省,physics,170,78981
2025,吉林省,physics,169,78985
2025,吉林省,physics,168,78990
2025,吉林省,physics,167,78992
2025,吉林省,physics,166,78995
2025,吉林省,physics,165,78995
2025,吉林省,physics,164,78995
2025,吉林省,physics,163,78997
2025,吉林省,physics,162,79004
2025,吉林省,physics,161,79004
2025,吉林省,physics,160,79004
2025,吉林省,physics,159,79004
2025,吉林省,physics,158,79005
2025,吉林省,physics,157,79007
2025,吉林省,physics,156,79009
2025,吉林省,physics,155,79010
2025,吉林省,physics,154,79014
2025,吉林省,physics,153,79014
2025,吉林省,physics,152,79014
2025,吉林省,physics,151,79017
2025,吉林省,physics,150,79018
2025,吉林省,physics,149,79018
2025,吉林省,physics,148,79018
2025,吉林省,physics,147,79018
2025,吉林省,physics,146,79018
2025,吉林省,physics,145,79020
2025,吉林省,physics,144,79023
2025,吉林省,physics,143,79024
2025,吉林省,physics,142,79025
2025,吉林省,physics,141,79025
2025,吉林省,physics,140,79027
2025,吉林省,physics,139,79029
2025,吉林省,physics,138,79030
2025,吉林省,physics,137,79032
2025,吉林省,physics,136,79033
2025,吉林省,physics,135,79033
2025,吉林省,physics,134,79034
2025,吉林省,physics,133,79034
2025,吉林省,physics,132,79034
2025,吉林省,physics,131,79034
2025,吉林省,physics,130,79034
2025,吉林省,physics,129,79034
2025,吉林省,physics,128,79035
2025,吉林省,physics,127,79036
2025,吉林省,physics,126,79039
2025,吉林省,physics,125,79040
2025,吉林省,physics,124,79040
2025,吉林省,physics,123,79042
2025,吉林省,physics,122,79042
2025,吉林省,physics,121,79042
2025,吉林省,physics,120,79044
2025,吉林省,physics,119,79044
2025,吉林省,physics,118,79047
2025,吉林省,physics,117,79047
2025,吉林省,physics,116,79049
2025,吉林省,physics,115,79050
2025,吉林省,physics,114,79050
2025,吉林省,physics,113,79050
2025,吉林省,physics,112,79050
2025,吉林省,physics,111,79050
2025,吉林省,physics,110,79051
2025,吉林省,physics,109,79052
2025,吉林省,physics,108,79053
2025,吉林省,physics,107,79054
2025,吉林省,physics,106,79054
